aboriginal	原住民的	⠁⠃⠕⠗⠊⠛⠔⠁⠇
miraculous	神奇的;奇蹟般的	⠍⠊⠗⠁⠉⠥⠇⠳⠎
mischievous	惡作劇的;淘氣的	⠍⠊⠎⠡⠊⠑⠧⠳⠎
missionary	傳教的;教會的;傳教士的	⠍⠊⠎⠨⠝⠜⠽
monotonous	單調的;無變化的	⠍⠕⠝⠕⠞⠕⠝⠳⠎
mournful	憂傷的;悲切的	⠍⠳⠗⠝⠰⠇
narrative	敘事的;故事形式的	⠝⠜⠗⠁⠞⠊⠧⠑
notorious	惡名昭彰的	⠝⠕⠞⠕⠗⠊⠳⠎
nutrient	營養的；滋養的	⠝⠥⠞⠗⠊⠢⠞
nutritious	有營養的	⠝⠥⠞⠗⠊⠞⠊⠳⠎
operational	操作上的;經營上的	⠕⠏⠻⠁⠰⠝⠁⠇
optional	隨意的;非必須的	⠕⠏⠰⠝⠁⠇
orderly	整齊的;有條理的	⠕⠗⠙⠻⠇⠽
outrageous	可恥的;無法無天的;令人吃驚的	⠳⠞⠗⠁⠛⠑⠳⠎
outright	全部的;直率的;公開的	⠳⠞⠐⠗
overhead	在上頭的;高架的	⠕⠧⠻⠓⠂⠙
pathetic	可憐的;可悲的	⠏⠁⠮⠞⠊⠉
pedestrian	徒步的;行人的	⠏⠫⠑⠌⠗⠊⠁⠝
persistent	堅持不懈的;固執的;持續的	⠏⠻⠎⠊⠌⠢⠞
perspective	透視的；透視畫的	⠏⠻⠎⠏⠑⠉⠞⠊⠧⠑
picturesque	圖畫般的;美麗的	⠏⠊⠉⠞⠥⠗⠑⠎⠟⠥⠑
pious	虔誠的;篤信的	⠏⠊⠳⠎
preliminary	預備的;初步的	⠏⠗⠑⠇⠊⠍⠔⠜⠽
premier	首位的;最早的	⠏⠗⠑⠍⠊⠻
presidential	總統的;總統選舉的	⠏⠗⠑⠎⠊⠙⠢⠞⠊⠁⠇
preventive	預防的;防病的	⠏⠗⠑⠧⠢⠞⠊⠧⠑
profound	深刻的;深度的	⠏⠗⠷⠨⠙
prone	有...傾向的;俯伏的	⠏⠗⠐⠕
provincial	省的;鄉氣的	⠏⠗⠕⠧⠔⠉⠊⠁⠇
quarrelsome	喜歡爭吵的	⠟⠥⠜⠗⠑⠇⠐⠎
random	胡亂的;隨機的	⠗⠯⠕⠍
rash	輕率的;急躁的	⠗⠁⠩
rational	理性的;明事理的;合理的	⠗⠁⠰⠝⠁⠇
recipient	接受的;受領的	⠗⠑⠉⠊⠏⠊⠢⠞
recreational	消遣的;娛樂的;休養的	⠗⠑⠉⠗⠂⠰⠝⠁⠇
redundant	多餘的;過剩的	⠗⠫⠥⠝⠙⠁⠝⠞
regardless	不注意的；不留心的;不關心的	⠗⠑⠛⠜⠙⠨⠎
renowned	有名的;有聲譽的	⠗⠢⠪⠝⠫
residential	居住的;住宅的	⠗⠑⠎⠊⠙⠢⠞⠊⠁⠇
resistant	抵抗的	⠗⠑⠎⠊⠌⠁⠝⠞
rhythmic	有節奏的;有韻律的	⠗⠓⠽⠹⠍⠊⠉
rigorous	嚴格的;嚴厲的;嚴密的	⠗⠊⠛⠕⠗⠳⠎
scenic	風景的;景色秀麗的	⠎⠉⠢⠊⠉
sentimental	情深的;情感;多愁善感的	⠎⠢⠞⠊⠰⠞⠁⠇
serene	安詳的;寧靜的	⠎⠻⠢⠑
sheer	全然的;(紡織物)極薄的;陡峭的	⠩⠑⠻
shrewd	精明的;狡猾的;機靈的	⠩⠗⠑⠺⠙
simultaneous	同時發生的;同步的	⠎⠊⠍⠥⠇⠞⠁⠝⠑⠳⠎
sneaky	鬼鬼祟祟的	⠎⠝⠂⠅⠽
sophisticated	老於世故的;精通的;精密的	⠎⠕⠏⠓⠊⠌⠊⠉⠁⠞⠫
spacious	寬敞的;廣闊的	⠎⠏⠁⠉⠊⠳⠎
spectacular	壯觀的;壯麗的	⠎⠏⠑⠉⠞⠁⠉⠥⠇⠜
spontaneous	自發的;自然的	⠎⠏⠕⠝⠞⠁⠝⠑⠳⠎
stationary	不動的;定居的	⠌⠁⠰⠝⠜⠽
strategic	戰略的	⠌⠗⠁⠞⠑⠛⠊⠉
subordinate	下級的;次要的;從屬的	⠎⠥⠃⠕⠗⠙⠔⠁⠞⠑
subsequent	隨後的;接著發生的	⠎⠥⠃⠎⠑⠟⠥⠢⠞
successive	連續的;後繼的;繼承的	⠎⠥⠒⠑⠎⠎⠊⠧⠑
superb	宏偉的;華麗的;	⠎⠥⠏⠻⠃
supersonic	超音波的;超音速的	⠎⠥⠏⠻⠎⠕⠝⠊⠉
superstitious	迷信的	⠎⠥⠏⠻⠌⠊⠞⠊⠳⠎
synthetic	綜合(性)的;合成的;人造的	⠎⠽⠝⠮⠞⠊⠉
tedious	冗長乏味的;使人厭煩的	⠞⠫⠊⠳⠎
theatrical	劇場的;戲劇的;戲劇性的	⠮⠁⠞⠗⠊⠉⠁⠇
theoretical	理論的;非應用的;假設的	⠮⠕⠗⠑⠞⠊⠉⠁⠇
thrifty	節儉的;茂盛的	⠹⠗⠊⠋⠞⠽
unanimous	全體一致的	⠥⠝⠁⠝⠊⠍⠳⠎
utmost	最大的;最遠的;極度的	⠥⠞⠍⠕⠌
variable	易變的;變異的	⠧⠜⠊⠁⠃⠇⠑
versatile	多才多藝的;多功能的	⠧⠻⠎⠁⠞⠊⠇⠑
vicious	惡意的;惡毒的	⠧⠊⠉⠊⠳⠎
victorious	勝利的	⠧⠊⠉⠞⠕⠗⠊⠳⠎
vocational	職業的	⠧⠕⠉⠁⠰⠝⠁⠇
vulgar	粗俗的;下流的	⠧⠥⠇⠛⠜
vulnerable	易受傷的;有弱點的	⠧⠥⠇⠝⠻⠁⠃⠇⠑
waterproof	防水的	⠺⠁⠞⠻⠏⠗⠕⠷
watertight	不透水的;無懈可擊的	⠺⠁⠞⠻⠞⠊⠣⠞
whatsoever	不管什麼樣的;無論怎麼的	⠱⠁⠞⠎⠕⠐⠑
abbreviate	縮寫	⠁⠆⠗⠑⠧⠊⠁⠞⠑
abound	大量存在;富足;充滿	⠁⠃⠨⠙
accelerate	加快;增長	⠁⠒⠑⠇⠻⠁⠞⠑
accommodate	能容納;能提供...膳宿;給...方便	⠁⠒⠕⠍⠍⠕⠙⠁⠞⠑
accord	(與...)一致;調解	⠁⠒⠕⠗⠙
accumulate	累積;積聚	⠁⠒⠥⠍⠥⠇⠁⠞⠑
administer	管理;給予;執行	⠁⠙⠍⠔⠊⠌⠻
administrate	管理;支配	⠁⠙⠍⠔⠊⠌⠗⠁⠞⠑
affirm	斷言;申明;堅稱	⠁⠖⠊⠗⠍
alienate	使疏遠;離間	⠁⠇⠊⠢⠁⠞⠑
ambush	埋伏下;伏擊	⠁⠍⠃⠥⠩
apprentice	當學徒	⠁⠏⠏⠗⠢⠞⠊⠉⠑
assassinate	暗殺；詆毀	⠁⠎⠎⠁⠎⠎⠔⠁⠞⠑
assert	斷言;堅持	⠁⠎⠎⠻⠞
attain	達到;獲得	⠁⠞⠞⠁⠔
auction	拍賣	⠁⠥⠉⠰⠝
authorize	授權給;批准	⠁⠥⠹⠕⠗⠊⠵⠑
besiege	圍攻;圍困;煩擾	⠆⠎⠊⠑⠛⠑
betray	背叛;出賣	⠆⠞⠗⠁⠽
blunder	犯大錯;出漏子	⠃⠇⠐⠥
bombard	砲擊;不斷攻擊;連續提出問題	⠃⠕⠍⠃⠜⠙
boost	舉;抬;推動;促進	⠃⠕⠕⠌
caption	加標題於	⠉⠁⠏⠰⠝
caress	愛撫;撫摸;寵愛	⠉⠜⠑⠎⠎
cater	承辦宴席;迎合	⠉⠁⠞⠻
certify	證明;保證;發證書(或執照等)	⠉⠻⠞⠊⠋⠽
characterize	描繪...的特性;具有...的特徵	⠐⠡⠊⠵⠑
chariot	駕馭(戰車或馬車)	⠡⠜⠊⠕⠞
chuckle	咯咯地笑;暗自發笑	⠡⠥⠉⠅⠇⠑
cleanse	清洗;淨化	⠉⠇⠂⠝⠎⠑
clench	緊握;緊咬	⠉⠇⠢⠡
clone	複製	⠉⠇⠐⠕
coincide	同時發生;巧合;一致	⠉⠕⠔⠉⠊⠙⠑
commence	開始;著手;得學位	⠉⠕⠍⠍⠰⠑
compensate	補償;賠償;酬報	⠉⠕⠍⠏⠢⠎⠁⠞⠑
compile	匯編;收集(資料等);編譯(程式)	⠉⠕⠍⠏⠊⠇⠑
complement	補充;補足;與...相配	⠉⠕⠍⠏⠇⠑⠰⠞
concede	(勉強)承認;讓步;承認失敗	⠒⠉⠫⠑
condense	濃縮;縮短;凝結	⠒⠙⠢⠎⠑
confer	授予(學位等);給予;協商	⠒⠋⠻
conform	遵照;符合;使一致	⠒⠿⠍
contradict	否定(陳述等);反駁;與...矛盾	⠒⠞⠗⠁⠙⠊⠉⠞
crust	結成外殼;覆有硬皮	⠉⠗⠥⠌
decline	下降；下跌；衰退；婉拒；謝絕	⠙⠑⠉⠇⠔⠑
dedicate	奉獻;獻身於;舉行落成典禮	⠙⠫⠊⠉⠁⠞⠑
denounce	譴責;告發	⠙⠢⠳⠝⠉⠑
deprive	剝奪	⠙⠑⠏⠗⠊⠧⠑
derive	取得;衍生出	⠙⠻⠊⠧⠑
descend	(走)下來;下降;來自於	⠙⠑⠎⠉⠢⠙
detach	分開;拆卸;派遣	⠙⠑⠞⠁⠡
detain	留住;扣留	⠙⠑⠞⠁⠔
deter	嚇住;使斷念	⠙⠑⠞⠻
deteriorate	惡化;(價值)下降;退化;墮落	⠙⠑⠞⠻⠊⠕⠗⠁⠞⠑
differentiate	構成差別;區分	⠙⠊⠖⠻⠢⠞⠊⠁⠞⠑
diminish	減少;減小;縮減	⠙⠊⠍⠔⠊⠩
disable	使失去能力;使傷殘	⠲⠁⠃⠇⠑
disapprove	不贊成;不同意	⠲⠁⠏⠏⠗⠕⠧⠑
discharge	卸貨;發射;排出;釋放;解雇	⠲⠡⠜⠛⠑
disclose	使露出;揭發;透露	⠲⠉⠇⠕⠎⠑
discomfort	使不舒服;使不安	⠲⠉⠕⠍⠿⠞
disgrace	使丟臉	⠲⠛⠗⠁⠉⠑
dismantle	去掉覆蓋物;拆除	⠲⠍⠁⠝⠞⠇⠑
dismay	使驚慌;使沮喪	⠲⠍⠁⠽
dispatch	派遣;發送	⠲⠏⠁⠞⠡
disperse	驅散;解散;散佈	⠲⠏⠻⠎⠑
displace	迫使離開;取代;免職	⠲⠏⠇⠁⠉⠑
displease	使不高興;得罪	⠲⠏⠇⠂⠎⠑
disregard	漠視	⠲⠗⠑⠛⠜⠙
dissolve	分解;使融化	⠲⠎⠕⠇⠧⠑
dissuade	勸阻	⠲⠎⠥⠁⠙⠑
distort	扭曲;曲解;變形	⠲⠞⠕⠗⠞
distract	轉移(目標);使分心	⠲⠞⠗⠁⠉⠞
distrust	不信任;懷疑	⠲⠞⠗⠥⠌
diversify	使多樣化	⠙⠊⠧⠻⠎⠊⠋⠽
divert	轉向;改道;使分心	⠙⠊⠧⠻⠞
embark	上船(或飛機等);從事	⠑⠍⠃⠜⠅
enact	制定(法律);扮演(角色)	⠢⠁⠉⠞
enhance	提高；增加	⠢⠓⠨⠑
enlighten	啟發;啟迪	⠢⠇⠊⠣⠞⠢
enrich	使富裕;使豐富;使肥沃	⠢⠗⠊⠡
erode	腐蝕;侵蝕;磨損	⠻⠕⠙⠑
excerpt	摘錄;引用	⠑⠭⠉⠻⠏⠞
exert	用(力);施加	⠑⠭⠻⠞
flare	閃耀;(搖曳不定地)燃燒;閃亮	⠋⠇⠜⠑
flicker	閃爍;搖曳;忽隱忽現	⠋⠇⠊⠉⠅⠻
fling	(用力地)扔;擲	⠋⠇⠬
flutter	振翼;飄動;(心臟等)不規則跳動	⠋⠇⠥⠞⠞⠻
foresee	預見;預知	⠿⠑⠎⠑⠑
formulate	使公式化;規劃;配製	⠿⠍⠥⠇⠁⠞⠑
forsake	拋棄;革除	⠿⠎⠁⠅⠑
fortify	築防禦工事於;增強	⠿⠞⠊⠋⠽
fragment	使成碎片	⠋⠗⠁⠛⠰⠞
freak	使瘋狂;使反常	⠋⠗⠂⠅
generalize	泛論;概括	⠛⠢⠻⠁⠇⠊⠵⠑
generate	產生;發生(熱;電;光等)	⠛⠢⠻⠁⠞⠑
glisten	閃耀;閃亮	⠛⠇⠊⠌⠢
harass	騷擾;使煩惱	⠓⠜⠁⠎⠎
hazard	冒險作出	⠓⠁⠵⠜⠙
highlight	用強光照射;使顯著;使突出	⠓⠊⠣⠇⠊⠣⠞
hunch	隆起;彎成弓狀	⠓⠥⠝⠡
illuminate	照亮;用燈裝飾;啟發	⠊⠇⠇⠥⠍⠔⠁⠞⠑
implement	履行;實施;執行	⠊⠍⠏⠇⠑⠰⠞
incline	傾斜;屈身;有意	⠔⠉⠇⠔⠑
infer	推斷；推論	⠔⠋⠻
inhabit	居住於;棲息於	⠔⠓⠁⠃⠊⠞
inject	注射(藥液等)	⠔⠚⠑⠉⠞
integrate	使結合;求積分	⠔⠞⠑⠛⠗⠁⠞⠑
intervene	介入;干預;調停	⠔⠞⠻⠧⠢⠑
intimidate	威嚇;脅迫	⠔⠞⠊⠍⠊⠙⠁⠞⠑
intrude	侵入;闖入	⠔⠞⠗⠥⠙⠑
inventory	把...登入目錄;盤存	⠔⠧⠢⠞⠕⠗⠽
lament	哀悼;悲痛;痛哭	⠇⠁⠰⠞
liberate	解放；使獲自由	⠇⠊⠃⠻⠁⠞⠑
lounge	(懶洋洋地)倚靠;閒蕩	⠇⠳⠝⠛⠑
mar	毀損;損傷;玷污	⠍⠜
meditate	沈思;深思熟慮	⠍⠫⠊⠞⠁⠞⠑
merchandise	買賣;經營	⠍⠻⠡⠯⠊⠎⠑
merge	合併;融合	⠍⠻⠛⠑
minimize	使減到最少(或最小);低估	⠍⠔⠊⠍⠊⠵⠑
narrate	講(故事);敘述;作旁白	⠝⠜⠗⠁⠞⠑
nourish	養育;滋養	⠝⠳⠗⠊⠩
originate	發源;來自	⠕⠗⠊⠛⠔⠁⠞⠑
outfit	裝備;配備;供給	⠳⠞⠋⠊⠞
outlaw	宣佈...為不合法;禁止	⠳⠞⠇⠁⠺
outnumber	數量上超過	⠳⠞⠝⠥⠍⠃⠻
outrage	激起義憤;激怒;施暴行	⠳⠞⠗⠁⠛⠑
overlap	與...部分重疊	⠕⠧⠻⠇⠁⠏
overturn	使翻轉;翻倒;推翻	⠕⠧⠻⠞⠥⠗⠝
paralyze	使麻痺;使癱瘓	⠏⠜⠁⠇⠽⠵⠑
peddle	挨戶兜售;沿街叫賣	⠏⠫⠙⠇⠑
pension	發給...退休金(或養老金等)	⠏⠢⠨⠝
persevere	堅持不懈;不屈不撓	⠏⠻⠎⠑⠧⠻⠑
pierce	刺穿;穿透	⠏⠊⠻⠉⠑
poach	水煮(蛋);偷獵;侵佔	⠏⠕⠁⠡
ponder	仔細考慮;衡量;回想	⠏⠕⠝⠙⠻
posture	擺出姿勢;故作姿態	⠏⠕⠌⠥⠗⠑
precede	處在...之前;(地位等)高於	⠏⠗⠑⠉⠫⠑
prowl	(野獸等)四處覓食;徘徊	⠏⠗⠪⠇
quench	壓制;抑制;解(渴);熄滅	⠟⠥⠢⠡
query	詢問;對...表示疑問	⠟⠥⠻⠽
refine	提煉;精鍊	⠗⠑⠋⠔⠑
rehearse	排練；排演	⠗⠑⠓⠑⠜⠎⠑
rein	(用韁繩)勒住;駕馭;控制	⠗⠑⠔
reinforce	增援;加強;加深	⠗⠑⠔⠿⠉⠑
relish	喜愛;愛好;加佐料	⠗⠑⠇⠊⠩
render	使得;使成為;提供	⠗⠢⠙⠻
safeguard	保護;防衛	⠎⠁⠋⠑⠛⠥⠜⠙
sanction	對...實施制裁	⠎⠁⠝⠉⠰⠝
seduce	誘惑;引誘	⠎⠫⠥⠉⠑
sequence	排序	⠎⠑⠟⠥⠰⠑
shed	流出;毛髮等脫落;蛻(殼等)	⠩⠫
shoplift	冒充顧客在商店內偷竊	⠩⠕⠏⠇⠊⠋⠞
shun	躲開;迴避	⠩⠥⠝
simplify	簡化；精簡;使單純;使平易	⠎⠊⠍⠏⠇⠊⠋⠽
slash	(用刀;劍等)砍;大幅度削減	⠎⠇⠁⠩
smother	使窒息;悶住(火);扼殺	⠎⠐⠍
smuggle	走私	⠎⠍⠥⠶⠇⠑
snare	(用陷阱等)捕捉;誘...入圈套	⠎⠝⠜⠑
sneer	輕蔑地笑;譏諷	⠎⠝⠑⠻
soar	往上飛舞;翱翔;暴漲	⠎⠕⠜
soothe	安慰;哄;減輕	⠎⠕⠕⠮
stabilize	使穩定;使穩固	⠌⠁⠃⠊⠇⠊⠵⠑
stalk	偷偷靠近;追蹤	⠌⠁⠇⠅
stammer	口吃;結結巴巴地說話	⠌⠁⠍⠍⠻
staple	用U形釘固定;用釘書針釘	⠌⠁⠏⠇⠑
starch	給(衣服等)上澱粉漿	⠌⠜⠡
stimulate	刺激;激勵;使興奮;促使	⠌⠊⠍⠥⠇⠁⠞⠑
stock	給(商店)辦貨;貯存	⠌⠕⠉⠅
strangle	勒死;扼住;悶住	⠌⠗⠁⠝⠛⠇⠑
stunt	表演絕技;妨礙	⠌⠥⠝⠞
suffocate	使窒息;扼制	⠎⠥⠖⠕⠉⠁⠞⠑
supplement	增補;為...補編附錄	⠎⠥⠏⠏⠇⠑⠰⠞
terminate	使結束;使終止;解雇	⠞⠻⠍⠔⠁⠞⠑
thrive	興旺;繁榮;茂盛生長	⠹⠗⠊⠧⠑
throb	(心臟;脈搏等)跳動;抽動;抽痛	⠹⠗⠕⠃
tread	踩;踏;步行	⠞⠗⠂⠙
trigger	扣扳機開(槍);發射;觸發	⠞⠗⠊⠶⠻
uncover	揭開...的蓋子;揭露	⠥⠝⠉⠕⠧⠻
underestimate	低估	⠐⠥⠑⠌⠊⠍⠁⠞⠑
undergo	經歷;接受(治療、檢查等)	⠐⠥⠛⠕
undermine	侵蝕...的基礎;暗中破壞	⠐⠥⠍⠔⠑
undertake	著手做;進行	⠐⠥⠞⠁⠅⠑
unfold	展開;呈現	⠥⠝⠋⠕⠇⠙
usher	引領;迎接;當引座員	⠥⠩⠻
vend	出售;販賣	⠧⠢⠙
verge	處在邊沿;瀕臨	⠧⠻⠛⠑
withstand	抵擋;反抗;禁得起	⠾⠌⠯
wrench	猛扭;攫取;使痛苦	⠺⠗⠢⠡
wrestle	與...摔角;與...搏鬥	⠺⠗⠑⠌⠇⠑
xerox	複印	⠭⠻⠕⠭
yearn	思念;渴望;嚮往	⠽⠑⠜⠝
accordingly	照著;相應地;因此	⠁⠉⠇⠽
alongside	在旁邊;沿著	⠁⠇⠰⠛⠎⠊⠙⠑
hereafter	此後;在來世	⠐⠓⠁⠋
thereafter	之後;以後	⠐⠮⠁⠋
thereby	因此;由此	⠐⠮⠃⠽
abbreviation	縮寫;省略	⠁⠆⠗⠑⠧⠊⠁⠰⠝
aborigine	土著居民	⠁⠃⠕⠗⠊⠛⠔⠑
abstraction	抽象	⠁⠃⠌⠗⠁⠉⠰⠝
abundance	豐富;充足	⠁⠃⠥⠝⠙⠨⠑
acceleration	加速;促進	⠁⠒⠑⠇⠻⠁⠰⠝
accommodation	適應;方便設施;住處	⠁⠒⠕⠍⠍⠕⠙⠁⠰⠝
accordance	一致;和諧;符合	⠁⠒⠕⠗⠙⠨⠑
accounting	會計;會計學	⠁⠒⠨⠞⠬
accumulation	累積;積聚	⠁⠒⠥⠍⠥⠇⠁⠰⠝
accusation	指控;指責	⠁⠒⠥⠎⠁⠰⠝
acquisition	收購;取得	⠁⠉⠟⠥⠊⠎⠊⠰⠝
activist	激進主義份子;行動主義者	⠁⠉⠞⠊⠧⠊⠌
adaptation	適應;改寫	⠁⠙⠁⠏⠞⠁⠰⠝
addiction	沈溺;上癮	⠁⠙⠙⠊⠉⠰⠝
administration	管理;經營;管理部門	⠁⠙⠍⠔⠊⠌⠗⠁⠰⠝
