abrupt	突然的;意外的	⠁⠃⠗⠥⠏⠞
immense	巨大的;廣大的	⠊⠍⠍⠢⠎⠑
imperial	帝國的	⠊⠍⠏⠻⠊⠁⠇
indifferent	不感興趣的;中立的;無關緊要的	⠔⠙⠊⠖⠻⠢⠞
indignant	憤怒的;憤慨的	⠔⠙⠊⠛⠝⠁⠝⠞
indispensable	必不可少的;必需的	⠔⠙⠊⠎⠏⠢⠎⠁⠃⠇⠑
infinite	無限的	⠔⠋⠔⠊⠞⠑
initiate	新加入的	⠔⠊⠞⠊⠁⠞⠑
inland	內地的;內陸的	⠔⠇⠯
innumerable	無數的	⠔⠝⠥⠍⠻⠁⠃⠇⠑
intent	專注的;熱切的;堅決要做的	⠔⠞⠢⠞
interior	內的;內部的	⠔⠞⠻⠊⠕⠗
inward	裡面的；內部的;內心的;向內的	⠔⠺⠜⠙
jolly	快活的；高興的	⠚⠕⠇⠇⠽
juvenile	少年的;孩子氣的;幼年的	⠚⠥⠧⠢⠊⠇⠑
kin	有親屬關係的;同類的;類似的	⠅⠔
knowledgeable	博學的;有見識的	⠐⠅⠇⠫⠛⠂⠃⠇⠑
lame	跛腳的;站不住腳的	⠇⠁⠍⠑
lifelong	終身的;一輩子的	⠇⠊⠋⠑⠇⠰⠛
locomotive	活動的;移動的;火車頭的	⠇⠕⠉⠕⠍⠕⠞⠊⠧⠑
lofty	高聳的;極高的;高傲的	⠇⠷⠞⠽
lonesome	寂寞的;孤單的;荒涼的	⠇⠐⠕⠐⠎
maiden	未婚的;少女的;初次的	⠍⠁⠊⠙⠢
majestic	雄偉的;威嚴的;崇高的	⠍⠁⠚⠑⠌⠊⠉
manifest	顯然的;清楚的	⠍⠁⠝⠊⠋⠑⠌
marginal	頁邊的;邊緣的;不重要的	⠍⠜⠛⠔⠁⠇
marine	海的;海生的;海軍陸戰隊的	⠍⠜⠔⠑
martial	戰爭的;軍事的;尚武的	⠍⠜⠞⠊⠁⠇
masculine	男性的;男子氣概的	⠍⠁⠎⠉⠥⠇⠔⠑
massive	厚實的;粗大的;大量的	⠍⠁⠎⠎⠊⠧⠑
migrant	移居(尤指移出國境)的;流浪的	⠍⠊⠛⠗⠁⠝⠞
minimal	最小的;極微的	⠍⠔⠊⠍⠁⠇
mock	假的;假裝的;模擬的	⠍⠕⠉⠅
monstrous	怪異的;駭人聽聞的;巨大的	⠍⠕⠝⠌⠗⠳⠎
mortal	會死的;凡人的;致命的;極度的	⠍⠕⠗⠞⠁⠇
muscular	肌肉的;健壯的	⠍⠥⠎⠉⠥⠇⠜
naive	天真的;幼稚的;輕信的	⠝⠁⠊⠧⠑
nasty	齷齪的;卑鄙的;難處理的	⠝⠁⠌⠽
nonviolent	非暴力的	⠝⠕⠝⠧⠊⠕⠇⠢⠞
notable	值得注意的;顯著的	⠝⠕⠞⠁⠃⠇⠑
noticeable	顯而易見的;顯著的	⠝⠕⠞⠊⠉⠂⠃⠇⠑
nude	裸的;與生俱有的	⠝⠥⠙⠑
oblong	橢圓形的	⠕⠃⠇⠰⠛
obstinate	頑固的;頑強的	⠕⠃⠌⠔⠁⠞⠑
olive	橄欖的;橄欖色的	⠕⠇⠊⠧⠑
oriental	(珍珠等)光輝奪目的;優質的	⠕⠗⠊⠢⠞⠁⠇
outgoing	直率的;往外的;即將離職的;友善的	⠳⠞⠛⠕⠬
outward	向外的;往外去的	⠳⠞⠺⠜⠙
overall	總的；全部的；全面的	⠕⠧⠻⠁⠇⠇
Pacific	太平洋	⠠⠏⠁⠉⠊⠋⠊⠉
parallel	平行的；同方向的	⠏⠜⠁⠇⠇⠑⠇
passionate	熱情的;激昂的	⠏⠁⠎⠨⠝⠁⠞⠑
patent	專利的	⠏⠁⠞⠢⠞
permissible	可允許的	⠏⠻⠍⠊⠎⠎⠊⠃⠇⠑
poetic	詩的;韻文的	⠏⠕⠑⠞⠊⠉
polar	北極的;南極的;截然對立的	⠏⠕⠇⠜
potential	潛在的；可能的	⠏⠕⠞⠢⠞⠊⠁⠇
prehistoric	史前的;舊式的	⠏⠗⠑⠓⠊⠌⠕⠗⠊⠉
priceless	無價的;稀世之珍的	⠏⠗⠊⠉⠑⠨⠎
prior	在先的;在前的;居先的	⠏⠗⠊⠕⠗
ragged	破爛的;不整潔的;參差不齊的	⠗⠁⠶⠫
rear	後面的；背後的	⠗⠑⠜
reckless	不在乎的;魯莽的	⠗⠑⠉⠅⠨⠎
reptile	爬行動物(似)的	⠗⠑⠏⠞⠊⠇⠑
republican	共和政體的	⠗⠑⠏⠥⠃⠇⠊⠉⠁⠝
resident	居住的；定居的;常駐的	⠗⠑⠎⠊⠙⠢⠞
reverse	顛倒的;相反的;反向的	⠗⠑⠧⠻⠎⠑
ridiculous	可笑的；荒謬的;滑稽的	⠗⠊⠙⠊⠉⠥⠇⠳⠎
rigid	堅硬的;嚴格的;死板的	⠗⠊⠛⠊⠙
robust	強健的;健全的;結實的	⠗⠕⠃⠥⠌
rugged	高低不平的;粗糙的;粗線條的	⠗⠥⠶⠫
sacred	神的;神聖的	⠎⠁⠉⠗⠫
salmon	鮭肉色的；淺澄色的	⠎⠁⠇⠍⠕⠝
savage	野性的;兇猛的;殘酷的	⠎⠁⠧⠁⠛⠑
secure	安全的牢固的	⠎⠑⠉⠥⠗⠑
shabby	破爛的;破舊的;邋遢的	⠩⠁⠆⠽
sloppy	懶散的;草率的	⠎⠇⠕⠏⠏⠽
sly	狡猾的	⠎⠇⠽
sober	清醒的;沒喝醉的;嚴肅的	⠎⠕⠃⠻
sole	單獨的;唯一的	⠎⠕⠇⠑
solemn	嚴肅的;莊嚴的;鄭重的	⠎⠕⠇⠑⠍⠝
solitary	單獨的;唯一的;隱居的	⠎⠕⠇⠊⠞⠜⠽
sovereign	最高統治者的;具有獨立主權的	⠎⠕⠧⠻⠑⠊⠛⠝
squat	蹲著的;矮胖的	⠎⠟⠥⠁⠞
statistical	統計的;統計學的	⠌⠁⠞⠊⠌⠊⠉⠁⠇
stern	嚴厲的;堅定的	⠌⠻⠝
stout	矮胖的;結實的;牢固的	⠌⠳⠞
straightforward	一直向前的;正直的;簡單易懂的	⠌⠗⠁⠊⠣⠞⠿⠺⠜⠙
stray	迷路的;流浪的;零星的	⠌⠗⠁⠽
structural	建築上的;建築用的;結構上的	⠌⠗⠥⠉⠞⠥⠗⠁⠇
sturdy	結實的;健康的;堅固的	⠌⠥⠗⠙⠽
stylish	時髦的;漂亮的	⠌⠽⠇⠊⠩
substantial	大量的;實在的	⠎⠥⠃⠌⠁⠝⠞⠊⠁⠇
superficial	外表的;粗略的;膚淺的	⠎⠥⠏⠻⠋⠊⠉⠊⠁⠇
supreme	最高的；至上的	⠎⠥⠏⠗⠑⠍⠑
tan	鞣革的;棕褐色的	⠞⠁⠝
tentative	試驗性的;暫時性的;猶豫的	⠞⠢⠞⠁⠞⠊⠧⠑
terminal	末端的;終點的	⠞⠻⠍⠔⠁⠇
toxic	毒(性)的;有毒的	⠞⠕⠭⠊⠉
transparent	透明的;一目了然的;易懂的	⠞⠗⠁⠝⠎⠏⠜⠢⠞
trim	整齊的;苗條的	⠞⠗⠊⠍
triple	三倍的;三重的	⠞⠗⠊⠏⠇⠑
underneath	下面的;底層的	⠐⠥⠝⠂⠹
understandable	可理解的;能懂的	⠐⠥⠌⠯⠁⠃⠇⠑
upright	挺直的;直立的;正直的	⠥⠏⠐⠗
upward	向上的;升高的	⠥⠏⠺⠜⠙
utter	徹底的;十足的;絕對的	⠥⠞⠞⠻
vague	(形狀等)模糊不清的;曖昧的	⠧⠁⠛⠥⠑
velvet	天鵝絨製的;柔軟光滑的	⠧⠑⠇⠧⠑⠞
verbal	言辭上的;動詞的	⠧⠻⠃⠁⠇
vertical	垂直的;豎的	⠧⠻⠞⠊⠉⠁⠇
vigorous	精力充沛的	⠧⠊⠛⠕⠗⠳⠎
wary	小心翼翼的;謹防的	⠺⠜⠽
weary	疲倦的;厭倦的	⠺⠑⠜⠽
weird	怪誕的	⠺⠑⠊⠗⠙
wholesale	批發的	⠱⠕⠇⠑⠎⠁⠇⠑
wholesome	有益健康的;強健的	⠱⠕⠇⠑⠐⠎
widespread	分佈(或散佈)廣的	⠺⠊⠙⠑⠎⠏⠗⠂⠙
worthwhile	值得花費時間(或金錢)的	⠺⠕⠗⠹⠱⠊⠇⠑
worthy	值得的	⠺⠕⠗⠹⠽
abide	忍受;等候	⠁⠃⠊⠙⠑
abolish	廢除;廢止	⠁⠃⠕⠇⠊⠩
accustom	使習慣於	⠁⠒⠥⠌⠕⠍
acknowledge	承認	⠁⠉⠐⠅⠇⠫⠛⠑
adore	崇拜;愛慕	⠁⠙⠕⠗⠑
ally	使結盟;使聯姻	⠁⠇⠇⠽
alter	改變;修改	⠁⠇⠞⠻
anchor	拋錨;繫住;主持電視新聞節目	⠁⠝⠡⠕⠗
applaud	向...鼓掌;稱讚	⠁⠏⠏⠇⠁⠥⠙
armor	穿盔甲(或加裝甲);提供防禦	⠜⠍⠕⠗
ascend	登高;上升;	⠁⠎⠉⠢⠙
assault	攻擊;抨擊;施暴	⠁⠎⠎⠁⠥⠇⠞
astonish	使吃驚；使驚訝	⠁⠌⠕⠝⠊⠩
awe	使敬畏;使畏怯	⠁⠺⠑
ballot	投票;投票表決	⠃⠁⠇⠇⠕⠞
ban	禁止;取締	⠃⠁⠝
banquet	宴請	⠃⠁⠝⠟⠥⠑⠞
batter	連續猛擊;搗毀;把...用舊	⠃⠁⠞⠞⠻
beautify	使更加美麗;美化	⠃⠂⠥⠞⠊⠋⠽
beware	當心;提防	⠆⠺⠜⠑
bid	吩咐;(拍賣中)喊價	⠃⠊⠙
blast	炸開;吹奏;嚴厲批評	⠃⠇⠁⠌
blaze	燃燒;閃耀;炫示	⠃⠇⠁⠵⠑
bleach	漂白;曬得褪色;使脫色	⠃⠇⠂⠡
blot	污損(名譽);(用吸墨紙)吸乾	⠃⠇⠕⠞
blur	使模糊不清;使朦朧	⠃⠇⠥⠗
bog	陷入泥沼;動彈不得	⠃⠕⠛
bolt	閂上;用螺栓拴緊;吞吃;衝出	⠃⠕⠇⠞
boom	發出隆隆聲;激增;暴漲;興旺	⠃⠕⠕⠍
bound	與...接界;跳躍;彈回	⠃⠨⠙
brace	支撐;做好準備	⠃⠗⠁⠉⠑
braid	編成辮子;編成穗帶;編結	⠃⠗⠁⠊⠙
bribe	向...行賄	⠃⠗⠊⠃⠑
broaden	變寬;變闊;擴大	⠃⠗⠕⠁⠙⠢
brood	孵蛋;籠罩;沈思;沮喪	⠃⠗⠕⠕⠙
browse	瀏覽	⠃⠗⠪⠎⠑
bruise	使受瘀傷;碰傷(水果);挫傷(感情)	⠃⠗⠥⠊⠎⠑
bulge	膨脹;凸起;裝滿	⠃⠥⠇⠛⠑
bully	脅迫;欺侮	⠃⠥⠇⠇⠽
butcher	屠宰(牲口)	⠃⠥⠞⠡⠻
cannon	開砲;砲轟	⠉⠁⠝⠝⠕⠝
caution	警告;使小心	⠉⠁⠥⠰⠝
cellar	把...藏入地窖(或酒窖)	⠉⠑⠇⠇⠜
certificate	發證書給;用證書批准	⠉⠻⠞⠊⠋⠊⠉⠁⠞⠑
chant	反覆地唱(或說);吟誦	⠡⠁⠝⠞
chatter	喋喋不休;吱吱叫	⠡⠁⠞⠞⠻
cite	引用;舉出;表揚	⠉⠊⠞⠑
clasp	扣住;鉤住;緊抱;緊握	⠉⠇⠁⠎⠏
cling	黏著;依附;墨守	⠉⠇⠬
cluster	使成簇(或群);叢生	⠉⠇⠥⠌⠻
clutch	抓住;攫取	⠉⠇⠥⠞⠡
cocoon	緊緊包住;使(自己)孤立	⠉⠕⠉⠕⠕⠝
coil	捲;盤繞;捲成圈	⠉⠕⠊⠇
combat	戰鬥;搏鬥;反對	⠉⠕⠍⠃⠁⠞
commission	委任；委託	⠉⠕⠍⠍⠊⠎⠨⠝
commute	減刑;通勤	⠉⠕⠍⠍⠥⠞⠑
compass	圖謀；計劃;包圍;達到;理解	⠉⠕⠍⠏⠁⠎⠎
compel	強迫;強求	⠉⠕⠍⠏⠑⠇
compliment	讚美;恭維	⠉⠕⠍⠏⠇⠊⠰⠞
comprehend	理解;領會;包含	⠉⠕⠍⠏⠗⠑⠓⠢⠙
compromise	妥協;危及;洩露(祕密等)	⠉⠕⠍⠏⠗⠕⠍⠊⠎⠑
compute	計算;估算;推斷	⠉⠕⠍⠏⠥⠞⠑
computerize	使電腦化;用電腦處理	⠉⠕⠍⠏⠥⠞⠻⠊⠵⠑
conceal	隱蔽；隱藏	⠒⠉⠂⠇
conceive	構想出;設想;懷孕	⠒⠉⠧
condemn	責備;譴責;判刑	⠒⠙⠑⠍⠝
conduct	引導；帶領	⠒⠙⠥⠉⠞
confront	面臨;遭遇	⠒⠋⠗⠕⠝⠞
consent	同意;贊成	⠒⠎⠢⠞
conserve	保存;保護;節省	⠒⠎⠻⠧⠑
console	安慰;慰問	⠒⠎⠕⠇⠑
contaminate	弄髒;污染	⠒⠞⠁⠍⠔⠁⠞⠑
contemplate	凝視;思忖;仔細考慮	⠒⠞⠑⠍⠏⠇⠁⠞⠑
contend	爭取;競爭;搏鬥;聲稱	⠒⠞⠢⠙
convert	轉變;變換;改變信仰	⠒⠧⠻⠞
convict	證明...有罪;判...有罪	⠒⠧⠊⠉⠞
copyright	為(書籍等)取得版權	⠉⠕⠏⠽⠐⠗
counsel	忠告;提議	⠉⠳⠝⠎⠑⠇
crater	使成坑;	⠉⠗⠁⠞⠻
creak	發出咯吱咯吱聲	⠉⠗⠂⠅
crib	作弊;抄襲	⠉⠗⠊⠃
crouch	蹲伏;彎腰	⠉⠗⠳⠡
crunch	嘎吱作響地咬嚼(或踩、壓)	⠉⠗⠥⠝⠡
curb	控制;遏止;勒住	⠉⠥⠗⠃
curry	梳刷(馬等);鞣製;用咖喱燒	⠉⠥⠗⠗⠽
dart	投擲(標槍等);投射;狂奔	⠙⠜⠞
dazzle	使眼花;使驚羨	⠙⠁⠵⠵⠇⠑
decay	腐朽;衰退	⠙⠑⠉⠁⠽
deceive	欺騙；蒙蔽	⠙⠉⠧
delegate	委派...為代表	⠙⠑⠇⠑⠛⠁⠞⠑
despair	絕望；喪失信心	⠙⠑⠎⠏⠁⠊⠗
despise	鄙視	⠙⠑⠎⠏⠊⠎⠑
devour	狼吞虎嚥地吃;吞沒	⠙⠑⠧⠳⠗
discard	拋棄；摒棄；丟棄	⠲⠉⠜⠙
discriminate	歧視;區分出	⠲⠉⠗⠊⠍⠔⠁⠞⠑
dispense	分配;執行;配(藥)	⠲⠏⠢⠎⠑
dispose	配置;處置	⠲⠏⠕⠎⠑
distress	使悲痛;使苦惱	⠲⠞⠗⠑⠎⠎
document	用文件證明	⠙⠕⠉⠥⠰⠞
drape	(用布等鬆軟地)覆蓋;垂掛	⠙⠗⠁⠏⠑
dwarf	使顯得矮小;阻礙生長	⠙⠺⠜⠋
dwell	居住;存在於;思索	⠙⠺⠑⠇⠇
eclipse	蝕;遮蔽;使失色;投下陰影	⠑⠉⠇⠊⠏⠎⠑
elevate	提高;振奮;升職	⠑⠇⠑⠧⠁⠞⠑
embrace	擁抱;包含;抓住(機會等)	⠑⠍⠃⠗⠁⠉⠑
endeavor	努力;力圖	⠢⠙⠂⠧⠕⠗
enroll	把...記入名冊；登記	⠢⠗⠕⠇⠇
ensure	保證;擔保	⠢⠎⠥⠗⠑
entitle	給...權力(或資格)	⠢⠞⠊⠞⠇⠑
equate	用符號表示某種關係;等同	⠑⠟⠥⠁⠞⠑
erupt	噴出;爆發	⠻⠥⠏⠞
escort	護送;為...護航;陪同	⠑⠎⠉⠕⠗⠞
esteem	尊重;評價	⠑⠌⠑⠑⠍
exceed	超過;勝過	⠑⠭⠉⠑⠫
excel	勝過;突出	⠑⠭⠉⠑⠇
exclaim	呼喊;驚叫	⠑⠭⠉⠇⠁⠊⠍
exclude	拒絕接納;排除在外	⠑⠭⠉⠇⠥⠙⠑
execute	實施;執行;處死	⠑⠭⠑⠉⠥⠞⠑
exile	流放;放逐	⠑⠭⠊⠇⠑
falter	踉蹌;搖晃;結巴地說話	⠋⠁⠇⠞⠻
fascinate	迷住；使神魂顛倒	⠋⠁⠎⠉⠔⠁⠞⠑
fatigue	使疲勞	⠋⠁⠞⠊⠛⠥⠑
fiddle	拉提琴;胡來;騙取	⠋⠊⠙⠙⠇⠑
filter	過濾;滲透	⠋⠊⠇⠞⠻
flake	使成薄片;像雪花般覆蓋	⠋⠇⠁⠅⠑
flap	(上下或前後)拍動;(鳥)振(翅)	⠋⠇⠁⠏
flaw	使破裂;使有缺陷	⠋⠇⠁⠺
flick	疾飛;掠過	⠋⠇⠊⠉⠅
flip	(為作出決定而)擲(硬幣);輕拋	⠋⠇⠊⠏
flourish	茂盛;繁茂;興旺	⠋⠇⠳⠗⠊⠩
format	編排或安排成某種形式	⠿⠍⠁⠞
freight	裝貨於;運輸(貨物)	⠋⠗⠑⠊⠣⠞
fume	冒煙;薰;發怒	⠋⠥⠍⠑
fuse	把保險絲接入(電路);熔接;裝引信	⠋⠥⠎⠑
fuss	忙亂;小題大作;爭辯	⠋⠥⠎⠎
gallop	(馬等)疾馳;飛跑	⠛⠁⠇⠇⠕⠏
gasp	倒抽一口氣;喘氣	⠛⠁⠎⠏
glare	怒目注視;眩目地照射	⠛⠇⠜⠑
gleam	發微光;閃現	⠛⠇⠂⠍
glitter	閃爍;光彩奪目	⠛⠇⠊⠞⠞⠻
gloom	變陰暗;感到沮喪	⠛⠇⠕⠕⠍
gnaw	啃;嚙;折磨	⠛⠝⠁⠺
gobble	狼吞虎嚥;(火雞)咯咯地叫	⠛⠕⠆⠇⠑
gorge	塞飽;狼吞虎嚥地吃	⠛⠕⠗⠛⠑
grant	同意；准予	⠛⠗⠁⠝⠞
graze	吃草;放牧;擦傷	⠛⠗⠁⠵⠑
grease	塗油脂於;賄賂	⠛⠗⠂⠎⠑
grip	握牢;(咬或夾)牢;掌握	⠛⠗⠊⠏
groan	呻吟;抱怨	⠛⠗⠕⠁⠝
growl	(狗等)嗥叫;(人)咆哮	⠛⠗⠪⠇
grumble	發牢騷;咕噥;發轟隆聲	⠛⠗⠥⠍⠃⠇⠑
gulp	狼吞虎嚥;大口地吸(氣);哽住	⠛⠥⠇⠏
gust	吹強風	⠛⠥⠌
gut	取出內臟;損毀(房屋等)的內部	⠛⠥⠞
handicap	妨礙；使不利	⠓⠯⠊⠉⠁⠏
harness	上挽具;套(馬);駕馭	⠓⠜⠰⠎
haul	拖;拉;拖運	⠓⠁⠥⠇
haunt	(鬼魂等)常出沒於;縈繞;常去	⠓⠁⠥⠝⠞
hedge	用樹籬圍住;兩面下注	⠓⠫⠛⠑
heed	留心;注意	⠓⠑⠫
heighten	加高;增高;增加	⠓⠑⠊⠣⠞⠢
herald	宣佈;通報;預示...的來臨	⠓⠻⠁⠇⠙
hijack	劫持	⠓⠊⠚⠁⠉⠅
hiss	發出嘶嘶聲;發出噓聲	⠓⠊⠎⠎
honk	發雁鳴;按喇叭	⠓⠕⠝⠅
hood	罩上兜帽(或風帽);加罩於	⠓⠕⠕⠙
hound	(用獵狗等)追獵;緊追	⠓⠨⠙
hover	盤旋;徘徊	⠓⠕⠧⠻
howl	嗥叫;怒吼;大哭;大笑	⠓⠪⠇
hurl	猛力投擲;發射;厲聲叫罵	⠓⠥⠗⠇
hymn	唱聖歌;唱讚美詩	⠓⠽⠍⠝
impose	徵(稅);加(負擔等)於	⠊⠍⠏⠕⠎⠑
incense	激怒;敬香	⠔⠉⠢⠎⠑
index	編索引	⠔⠙⠑⠭
induce	導致;誘導;歸納出	⠔⠙⠥⠉⠑
indulge	沈迷於;滿足(慾望等);縱容	⠔⠙⠥⠇⠛⠑
inherit	繼承(傳統；遺產等)	⠔⠓⠻⠊⠞
inquire	訊問;查問;調查	⠔⠟⠥⠊⠗⠑
institute	創立;設立;開始	⠔⠌⠊⠞⠥⠞⠑
insure	投保;確保	⠔⠎⠥⠗⠑
issue	發行;發佈	⠊⠎⠎⠥⠑
jack	用千斤頂托起	⠚⠁⠉⠅
jaywalk	不守交通規則橫穿馬路	⠚⠁⠽⠺⠁⠇⠅
jeer	嘲笑;嘲弄	⠚⠑⠻
jingle	發出叮噹聲	⠚⠬⠇⠑
jug	(用罐)煮;燉;監禁	⠚⠥⠛
justify	證明...是正當的;辯解	⠚⠥⠌⠊⠋⠽
kindle	點燃;煽動;照亮	⠅⠔⠙⠇⠑
layer	把...堆積成層	⠇⠁⠽⠻
league	使結盟;使聯合	⠇⠂⠛⠥⠑
lessen	變小;變少;減輕	⠇⠑⠎⠎⠢
lime	撒石灰於	⠇⠊⠍⠑
limp	跛行	⠇⠊⠍⠏
linger	繼續逗留;持續;磨蹭	⠇⠬⠻
lodge	租房間給...住;申訴;暫住;投宿	⠇⠕⠙⠛⠑
lumber	伐木;(英國)拖累	⠇⠥⠍⠃⠻
lump	弄成一團;歸併到一起	⠇⠥⠍⠏
magnify	放大;擴大;誇張	⠍⠁⠛⠝⠊⠋⠽
marvel	感到驚訝;感到好奇	⠍⠜⠧⠑⠇
mash	把...搗成糊狀;壓碎	⠍⠁⠩
massage	給...按摩(或推拿)	⠍⠁⠎⠎⠁⠛⠑
mediate	調停解決;傳達	⠍⠫⠊⠁⠞⠑
menace	威脅;恐嚇	⠍⠢⠁⠉⠑
mingle	使混合;使相混;交往	⠍⠬⠇⠑
moan	呻吟;嗚咽;悲歎	⠍⠕⠁⠝
modernize	使現代化	⠍⠕⠙⠻⠝⠊⠵⠑
